disease_name,department
Đau Dạ Dày,Gastroenterology
Đau Họng,ENT
Đau Khớp Gối,
Đau Khớp Khuỷu Tay,
Đau Khớp,
Đau Mắt,
Đau Nhức Hốc Mắt,ENT
Đau Nửa Đầu Bên Phải,
Đau Nửa Đầu Bên Trái,
Đau Nửa Đầu Phía Sau,
Đau Nửa Đầu Phía Trước,
Đau Nửa Đầu,
Đau Thắt Ngực,
Đau Tinh Hoàn Bên Phải,
Đau Tinh Hoàn Bên Trái,
Đau Tinh Hoàn,
Đau Vú,
Đau Đầu Gối Khi Đứng Lên Ngồi Xuống,
Đau Đầu Migraine,
Đau Đầu Sau Gáy,
Đau Đầu Vận Mạch,
Đau Đầu,
Đau Đỉnh Đầu,
Điều Trị Chứng Rối Loạn Tiền Mãn Kinh,
Đái Tháo Đường Thai Kỳ,
Đái Tháo Đường,
Đái Tiểu Ra Máu,
Đĩa Đệm Mất Nước,
Đạm Niệu,
Động Mạch Cảnh,
Đột Quỵ Thiếu Máu Cục Bộ,
Đột Quỵ,
Đục Thủy Tinh Thể,
Ối Vỡ Non,
Ốm Nghén Khi Mang Thai,
